openalex_id,doi,titulo,ano,periodico,source_id,issn,url,acesso_aberto,autores,docentes_ppge,linhas
"https://openalex.org/W4416320172","10.1590/es.299616","A INTELIGÊNCIA SEQUESTRADA: IA, DOMINAÇÃO ALGORÍTMICA E INSURGÊNCIA DO CONHECIMENTO","2025","Educação & Sociedade","https://openalex.org/S2737687728","0101-7330","https://doi.org/10.1590/es.299616","aberto","João dos Reis Silva Júnior; Everton Henrique Eleutério Fargoni","Joao dos Reis Silva Junior","EPFH"
"https://openalex.org/W4413272498","10.30681/real.v18i01.12716","A LETRA CURSIVA NO CONTEXTO PÓS-PANDÊMICO: (RES)SIGNIFICANDO SEU LUGAR NA SALA DE AULA","2025","Revista de Estudos Acadêmicos de Letras","https://openalex.org/S4210233257","2358-8403","https://doi.org/10.30681/real.v18i01.12716","aberto","Alice Jorge da Cruz; María Iolanda Monteiro","Maria Iolanda Monteiro","ECS"
"https://openalex.org/W7117583900","10.21723/riaee.v20i00.2022202","A necessary turn in continuing teacher education","2025","Revista Ibero-Americana de Estudos em Educação","https://openalex.org/S2737552301","1982-5587","https://doi.org/10.21723/riaee.v20i00.2022202","aberto","Roseli Rodrigues de Mello; Rafaela Maria Rodrigues; Bruno Cortegoso Prezenszky","Roseli Rodrigues de Mello","EETPC"
"https://openalex.org/W4410739152","10.5585/54.2025.28398","A pedagogia do não-saber","2025","Dialogia","https://openalex.org/S2738518088","1677-1303","https://doi.org/10.5585/54.2025.28398","aberto","Braian Veloso","Braian Garrito Veloso","ECS"
"https://openalex.org/W4411805965","10.14295/aimj.v9i17.221","A Relação entre Emoções Reprimidas e Tensão Muscular Crônica: O Corpo como Espelho das Emoções","2025","Amadeus International Multidisciplinary Journal","https://openalex.org/S4210188529","2525-8281","https://doi.org/10.14295/aimj.v9i17.221","aberto","Francinete Alves de Oliveira Giffoni; Emídia Inácio Timóteo; Elisian Macedo Fechine da Cruz; Márcia Regina Onofre; Ana Flávia Freire Tavares Lima","Márcia Regina Onofre","FPOAE"
"https://openalex.org/W4416042002","10.36704/sdhe.v8i2.9646","A resistência das joias de crioula para um ensino de Química antirracista","2025","SCIAS Direitos Humanos e Educação","https://openalex.org/S4387282647","2596-1772","https://doi.org/10.36704/sdhe.v8i2.9646","aberto","Priscila Duarte de Lira; Larissa Gomes Matos; Larissa Tereza Dos Santos Reis; Ettore Paredes Antunes","Ettore Paredes Antunes","ECM"
"https://openalex.org/W4415069858","10.14393/obv9.e2025-18","A Teoria da Reorganização de Tikhomirov e sua Aplicação na Educação Básica: Computadores como Instrumentos de Mediação do Pensamento","2025","Obutchénie Revista de Didática e Psicologia Pedagógica","https://openalex.org/S4210189389","2526-7647","https://doi.org/10.14393/obv9.e2025-18","aberto","Francielle de Mattos; Maria Aparecida Mello","Maria Aparecida Mello","EETPC"
"https://openalex.org/W4414619357","10.21879/faeeba2358-0194.2025.v34.n79.p158-173","Acesso, Permanência e Inovação na Universidade","2025","Revista da FAEEBA- Educação e Contemporaneidade","https://openalex.org/S4210174506","0104-7043","https://doi.org/10.21879/faeeba2358-0194.2025.v34.n79.p158-173","aberto","Braian Veloso; Marcello Ferreira","Braian Garrito Veloso","ECS"
"https://openalex.org/W4408905750","10.18225/ci.inf.v54i1.7562","Active methodologies: terminological survey according to the means and didactic conditions","2025","Ciência da Informação","https://openalex.org/S4210227022","0100-1965","https://doi.org/10.18225/ci.inf.v54i1.7562","aberto","Raquel Juliana Prado Leite de Sousa; María Iolanda Monteiro","Maria Iolanda Monteiro","ECS"
"https://openalex.org/W7118249360","10.23925/2178-2911.2025v32p292-307","Alfabetização científica e natureza da ciência: potencialidades de uma narrativa histórica-investigativa sobre a ruptura com a teoria do flogisto","2025","História da Ciência e Ensino construindo interfaces","https://openalex.org/S4210210784","2178-2911","https://doi.org/10.23925/2178-2911.2025v32p292-307","aberto","Yana Bárbara da Silva Teixeira; Ettore Paredes Antunes","Ettore Paredes Antunes","ECM"
"https://openalex.org/W4411137363","10.26512/rici.v18.n1.2025.56617","Alfabetização informacional em comunicação científica: a experiência das PROPETIPS – UNESP","2025","Revista Ibero-Americana de Ciência da Informação","https://openalex.org/S2738829075","1983-5213","https://doi.org/10.26512/rici.v18.n1.2025.56617","aberto","José Augusto Chaves Guimarães; María Cristina Piumbato Innocentini Hayashi; Laura Maria Rego-Piva","Maria Cristina Piumbato Innocentini Hayashi","HFSE"
